Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
India,IND,2004,10.580124,8.6782465,0.05239361,15.05787,289.99792,58.777546,306.69138,2243.5286,1414.2178
India,IND,1995,1.7997489,,0.0029868612,1.4680564,224.4972,21.606615,180.77829,1631.6134,901.3517
India,IND,1994,1.2139482,,0,0.56561273,237.18634,14.032387,158.56918,1537.2871,808.2667
India,IND,1993,0.8045936,,0,0.2802339,209.15523,17.66902,146.67085,1489.6254,752.0428
India,IND,1992,0.3811233,,0,0.26160473,207.16887,18.170624,144.3469,1438.2565,744.1866
India,IND,1991,0.30348694,,0,0.3338736,218.57735,15.361639,129.10802,1357.8776,706.101
India,IND,1990,0.11998333,,0,0.08960583,196.3354,18.145542,115.927345,1276.025,694.05817
India,IND,1971,0,,0,0,98.71657,2.758825,6.7062187,442.8722,243.33246
India,IND,1974,0,,0,0,98.18077,5.103826,8.303968,520.8561,271.54297
India,IND,1972,0,,0,0,95.81544,2.620884,7.3559065,467.68307,262.38324
India,IND,1989,0,,0,0,187.38374,11.411504,96.904594,1179.941,667.7726
India,IND,1981,0,,0,0,174.70767,6.997383,19.781782,742.1424,405.65527
India,IND,1978,0,,0,0,166.10886,6.4205384,15.404812,590.66406,342.3745
India,IND,1980,0,,0,0,163.93954,6.9472227,11.331031,659.565,376.81616
India,IND,1988,0,,0,0,161.4958,17.242657,81.50488,1085.5574,616.50073
India,IND,1979,0,,0,0,160.17592,6.6588,19.158562,627.49286,369.47275
India,IND,1984,0,,0,0,158.73842,11.461663,35.340595,818.31085,477.06702
India,IND,1986,0,,0,0,155.44527,14.245568,60.40024,921.24005,544.25946
India,IND,1985,0,,0,0,153.21062,12.7909155,43.22828,857.39703,517.6358
India,IND,1982,0,,0,0,147.43451,6.119575,25.934563,733.90405,422.65634
India,IND,1987,0,,0,0,144.78168,15.098296,69.577,1011.6298,561.7667
India,IND,1983,0,,0,0,142.0635,8.727919,30.85775,779.04803,444.35294
India,IND,1977,0,,0,0,133.88286,5.2543077,13.792624,610.3462,315.044
India,IND,1976,0,,0,0,122.709625,7.536608,12.914344,583.0348,293.2587
India,IND,1975,0,,0,0,117.29943,6.081955,10.630812,559.9062,278.0928
India,IND,1973,0,,0,0,102.035866,5.54273,7.3366566,461.44937,276.95908
India,IND,1970,,,,0,90.00013,3.7118735,6.328466,436.80887,226.89145
India,IND,1969,,,,0,84.86436,2.0565786,4.74504,460.8412,227.92883
India,IND,1968,,,,0,76.435425,0,3.9542,433.8247,189.77089
India,IND,1967,,,,0,66.229225,0,3.5587797,419.28525,169.36021
India,IND,1966,,,,0,59.185505,0,2.66327,412.41534,164.14967
India,IND,1965,,,,0,56.67643,0,2.37252,413.40735,146.99513
Iran,IRN,2014,0.14875665,,0.0018963694,0.54181945,39.292755,10.579254,1734.0094,10.552486,961.54517
Iran,IRN,2018,0.078017496,,0.5868647,1.9842952,26.028666,17.480797,2126.4338,15.848832,899.0051
Iran,IRN,2017,0.078017496,,0.22835195,0.8462903,45.859352,17.76808,2050.0398,11.981637,859.2895
Iran,IRN,2012,0.07214389,,0.0019193555,0.7759677,34.27968,3.8196535,1525.4553,10.651124,982.9681
Iran,IRN,2020,0.07131694,,1.533406,2.9572015,60.94304,15.953461,2367.6733,21.418182,908.09296
Iran,IRN,2022,0.071122214,,1.9052374,3.2499468,19.432703,16.427147,2289.1401,21.138962,1025.3413
Iran,IRN,2021,0.071122214,,1.616114,2.9585476,38.94208,8.880182,2364.6533,19.573114,924.24023
Iran,IRN,2011,0.07022861,,0.0019310584,0.58483475,29.473465,0.28346664,1531.9261,13.733183,953.4409
Iran,IRN,2016,0.069589995,,0.013385193,0.41761777,41.28527,16.631624,1963.1904,10.559657,846.62683
Iran,IRN,2013,0.061609443,,0.0019077917,0.59686667,39.856506,11.129087,1538.3448,8.86266,1049.0637
Iran,IRN,2015,0.052033056,,0.004039472,0.37970915,35.68727,9.032548,1840.1948,12.6951065,847.475
Iran,IRN,2019,0.034111943,,1.3455929,1.9031719,89.2672,16.215496,2183.8955,18.932867,946.3437
Iran,IRN,2010,0.032560553,,0.0019429055,0.46907276,28.455235,0,1443.894,13.363621,935.3785
